% Langmuir characteristic curve

% U (Volt)	I (A)
-12.000000	-3.656605E-7
-11.993000	-1.923181E-7
-11.986000	-4.164176E-7
-11.979000	-2.938323E-7
-11.972000	-3.487803E-7
-11.965000	-4.883623E-7
-11.958000	-3.360910E-7
-11.951000	-3.022142E-7
-11.944000	-3.699679E-7
-11.937000	-3.360910E-7
-11.930000	-3.826572E-7
-11.923000	-4.459871E-7
-11.916000	-4.883623E-7
-11.909000	-5.855691E-7
-11.902000	-3.953464E-7
-11.895000	-5.559996E-7
-11.888000	-3.445894E-7
-11.881000	-4.376052E-7
-11.874000	-3.699679E-7
-11.867000	-2.938323E-7
-11.860000	-3.402820E-7
-11.853000	-2.938323E-7
-11.846000	-1.373701E-7
-11.839000	-3.487803E-7
-11.832000	-3.402820E-7
-11.825000	-3.149034E-7
-11.818000	-3.868481E-7
-11.811000	-4.249159E-7
-11.804000	-4.417961E-7
-11.797000	-2.387678E-7
-11.790000	-2.007000E-7
-11.783000	-4.713656E-7
-11.776000	-3.360910E-7
-11.769000	-3.319001E-7
-11.762000	-3.868481E-7
-11.755000	-3.445894E-7
-11.748000	-2.514571E-7
-11.741000	-3.275927E-7
-11.734000	-1.415610E-7
-11.727000	-3.995374E-7
-11.720000	-3.910391E-7
-11.713000	-2.133893E-7
-11.706000	-5.898764E-7
-11.699000	-3.614696E-7
-11.692000	-4.925532E-7
-11.685000	-3.445894E-7
-11.678000	-4.756730E-7
-11.671000	-4.671747E-7
-11.664000	-4.417961E-7
-11.657000	-1.457520E-7
-11.650000	-2.726447E-7
-11.643000	-3.868481E-7
-11.636000	-2.726447E-7
-11.629000	-2.599554E-7
-11.622000	-3.360910E-7
-11.615000	-3.868481E-7
-11.608000	-4.249159E-7
-11.601000	-3.445894E-7
-11.594000	-4.629837E-7
-11.587000	-3.572786E-7
-11.580000	-1.753215E-7
-11.573000	-3.783498E-7
-11.566000	-3.826572E-7
-11.559000	-2.430752E-7
-11.552000	-4.080357E-7
-11.545000	-3.319001E-7
-11.538000	-4.629837E-7
-11.531000	-4.502945E-7
-11.523500	-4.080357E-7
-11.516500	-4.122267E-7
-11.509500	-3.783498E-7
-11.502500	-4.249159E-7
-11.495500	-3.910391E-7
-11.488500	-4.459871E-7
-11.481500	-5.728798E-7
-11.474500	-4.080357E-7
-11.467500	-4.332978E-7
-11.460500	-3.910391E-7
-11.453500	-1.626322E-7
-11.446500	-4.291069E-7
-11.439500	-5.306210E-7
-11.432500	-2.768356E-7
-11.425500	-3.319001E-7
-11.418500	-3.699679E-7
-11.411500	-3.192108E-7
-11.404500	-3.783498E-7
-11.397500	-3.656605E-7
-11.390500	-5.813781E-7
-11.383500	-4.671747E-7
-11.376500	-4.459871E-7
-11.369500	-3.783498E-7
-11.362500	-4.629837E-7
-11.355500	-3.572786E-7
-11.348500	-4.037283E-7
-11.341500	-4.883623E-7
-11.334500	-3.741588E-7
-11.327500	-3.656605E-7
-11.320500	-3.953464E-7
-11.313500	-3.529713E-7
-11.306500	-1.203734E-7
-11.299500	-4.376052E-7
-11.292500	-4.502945E-7
-11.285500	-3.741588E-7
-11.278500	-4.037283E-7
-11.271500	-4.332978E-7
-11.264500	-4.206086E-7
-11.257500	-2.218876E-7
-11.250500	-1.796288E-7
-11.243500	-3.487803E-7
-11.236500	-3.529713E-7
-11.229500	-1.923181E-7
-11.222500	-2.726447E-7
-11.215500	-3.445894E-7
-11.208500	-4.037283E-7
-11.201500	-4.206086E-7
-11.194500	-1.499429E-7
-11.187500	-3.234018E-7
-11.180500	-4.332978E-7
-11.173500	-4.502945E-7
-11.166500	-5.771872E-7
-11.159500	-4.249159E-7
-11.152500	-3.149034E-7
-11.145500	-3.360910E-7
-11.138500	-3.741588E-7
-11.131500	-3.656605E-7
-11.124500	-5.221227E-7
-11.117500	-1.288718E-7
-11.110500	-3.783498E-7
-11.103500	-4.756730E-7
-11.096500	-4.671747E-7
-11.089500	-2.938323E-7
-11.082500	-5.728798E-7
-11.075500	-3.487803E-7
-11.068500	-3.572786E-7
-11.061500	-3.402820E-7
-11.054500	-5.391194E-7
-11.047500	-3.402820E-7
-11.040500	-1.669396E-7
-11.033500	-5.052425E-7
-11.026500	-3.741588E-7
-11.019500	-3.953464E-7
-11.012500	-3.783498E-7
-11.005500	-2.895249E-7
-10.998500	-3.402820E-7
-10.991500	-3.319001E-7
-10.984500	-3.868481E-7
-10.977500	-3.572786E-7
-10.970500	-4.080357E-7
-10.963500	-3.487803E-7
-10.956500	-4.629837E-7
-10.949500	-4.206086E-7
-10.942500	-3.741588E-7
-10.935500	-1.838198E-7
-10.928500	-3.319001E-7
-10.921500	-2.007000E-7
-10.914500	-2.980232E-7
-10.907500	-3.741588E-7
-10.900500	-3.022142E-7
-10.893500	-4.967442E-7
-10.886500	-5.137408E-7
-10.879500	-3.910391E-7
-10.872500	-3.022142E-7
-10.865500	-2.938323E-7
-10.858500	-3.445894E-7
-10.851500	-3.656605E-7
-10.844500	-4.037283E-7
-10.837500	-7.336494E-7
-10.830500	-5.518086E-7
-10.823500	-4.080357E-7
-10.816500	-3.656605E-7
-10.809500	-3.529713E-7
-10.802500	-4.840549E-7
-10.795500	-3.699679E-7
-10.788500	-2.472661E-7
-10.781500	-3.656605E-7
-10.774500	-2.980232E-7
-10.767500	-3.445894E-7
-10.760500	-5.264301E-7
-10.753500	-4.376052E-7
-10.746500	-1.923181E-7
-10.739500	-4.586764E-7
-10.732500	-5.559996E-7
-10.725500	-3.275927E-7
-10.718500	-4.332978E-7
-10.711500	-2.980232E-7
-10.704500	-4.967442E-7
-10.697500	-5.433103E-7
-10.690500	-9.499490E-8
-10.683500	-4.332978E-7
-10.676500	-3.614696E-7
-10.669500	-2.938323E-7
-10.662500	-6.617047E-7
-10.655500	-4.206086E-7
-10.648500	-5.010515E-7
-10.641500	-4.164176E-7
-10.634500	-1.880107E-7
-10.627500	-3.445894E-7
-10.620500	-4.080357E-7
-10.613500	-3.149034E-7
-10.606500	-3.192108E-7
-10.599000	-5.137408E-7
-10.592000	-2.557645E-7
-10.585000	-4.502945E-7
-10.578000	-3.022142E-7
-10.571000	-3.487803E-7
-10.564000	-2.811430E-7
-10.557000	-4.249159E-7
-10.550000	-4.080357E-7
-10.543000	-4.544854E-7
-10.536000	-1.838198E-7
-10.529000	-4.417961E-7
-10.522000	-3.995374E-7
-10.515000	-4.080357E-7
-10.508000	-4.925532E-7
-10.501000	-4.164176E-7
-10.494000	-3.022142E-7
-10.487000	-2.684537E-7
-10.480000	-1.161825E-7
-10.473000	-2.260786E-7
-10.466000	-4.206086E-7
-10.459000	-4.122267E-7
-10.452000	-2.895249E-7
-10.445000	-3.275927E-7
-10.438000	-3.953464E-7
-10.431000	-4.502945E-7
-10.424000	-5.644979E-7
-10.417000	-2.980232E-7
-10.410000	-4.291069E-7
-10.403000	-5.094334E-7
-10.396000	-3.868481E-7
-10.389000	-3.826572E-7
-10.382000	-3.529713E-7
-10.375000	-2.684537E-7
-10.368000	-1.965091E-7
-10.361000	-2.938323E-7
-10.354000	-1.246808E-7
-10.347000	-4.756730E-7
-10.340000	-4.756730E-7
-10.333000	-3.445894E-7
-10.326000	-4.332978E-7
-10.319000	-5.348120E-7
-10.312000	-4.376052E-7
-10.305000	-4.332978E-7
-10.298000	-3.826572E-7
-10.291000	-3.995374E-7
-10.284000	-3.234018E-7
-10.277000	-5.179318E-7
-10.270000	-3.656605E-7
-10.263000	-3.275927E-7
-10.256000	-3.656605E-7
-10.249000	-3.445894E-7
-10.242000	-4.798640E-7
-10.235000	-3.953464E-7
-10.228000	-2.684537E-7
-10.221000	-5.221227E-7
-10.214000	-2.387678E-7
-10.207000	-1.753215E-7
-10.200000	-3.868481E-7
-10.193000	-3.149034E-7
-10.186000	-3.360910E-7
-10.179000	-2.853340E-7
-10.172000	-2.853340E-7
-10.165000	-3.319001E-7
-10.158000	-2.514571E-7
-10.151000	-1.076842E-7
-10.144000	-6.109476E-7
-10.137000	-3.529713E-7
-10.130000	-3.360910E-7
-10.123000	-4.459871E-7
-10.116000	-2.980232E-7
-10.109000	-3.234018E-7
-10.102000	-3.614696E-7
-10.095000	-1.838198E-7
-10.088000	-5.221227E-7
-10.081000	-5.644979E-7
-10.074000	-3.192108E-7
-10.067000	-4.713656E-7
-10.060000	-3.910391E-7
-10.053000	-4.883623E-7
-10.046000	-3.699679E-7
-10.039000	-2.853340E-7
-10.032000	-4.840549E-7
-10.025000	-6.617047E-7
-10.018000	-3.868481E-7
-10.011000	-4.249159E-7
-10.004000	-4.037283E-7
-9.997000	-1.796288E-7
-9.990000	-4.206086E-7
-9.983000	-4.376052E-7
-9.976000	-3.107125E-7
-9.969000	-2.768356E-7
-9.962000	-3.699679E-7
-9.955000	-2.557645E-7
-9.948000	-4.291069E-7
-9.941000	-1.034932E-7
-9.934000	-3.149034E-7
-9.927000	-2.853340E-7
-9.920000	-3.741588E-7
-9.913000	-2.895249E-7
-9.906000	-3.868481E-7
-9.899000	-6.912742E-7
-9.892000	-3.360910E-7
-9.885000	-3.402820E-7
-9.878000	-3.234018E-7
-9.871000	-2.811430E-7
-9.864000	-5.728798E-7
-9.857000	-3.529713E-7
-9.850000	-2.557645E-7
-9.843000	-3.445894E-7
-9.836000	-3.572786E-7
-9.829000	-3.275927E-7
-9.822000	-2.853340E-7
-9.815000	-3.234018E-7
-9.808000	-3.107125E-7
-9.801000	-5.391194E-7
-9.794000	-1.753215E-7
-9.787000	-3.192108E-7
-9.780000	-5.137408E-7
-9.773000	-5.559996E-7
-9.766000	-3.360910E-7
-9.759000	-3.360910E-7
-9.752000	-3.699679E-7
-9.745000	-3.022142E-7
-9.738000	-4.671747E-7
-9.731000	-3.402820E-7
-9.724000	-3.234018E-7
-9.717000	-1.076842E-7
-9.710000	-3.699679E-7
-9.703000	-3.022142E-7
-9.696000	-5.306210E-7
-9.689000	-4.883623E-7
-9.681500	-3.319001E-7
-9.674500	-5.137408E-7
-9.667500	-5.728798E-7
-9.660500	-1.542503E-7
-9.653500	-2.811430E-7
-9.646500	-5.221227E-7
-9.639500	-2.895249E-7
-9.632500	-2.853340E-7
-9.625500	-3.741588E-7
-9.618500	-2.557645E-7
-9.611500	-3.192108E-7
-9.604500	-3.234018E-7
-9.597500	-3.783498E-7
-9.590500	-3.868481E-7
-9.583500	-5.559996E-7
-9.576500	-3.995374E-7
-9.569500	-4.376052E-7
-9.562500	-3.953464E-7
-9.555500	-3.107125E-7
-9.548500	-3.868481E-7
-9.541500	-3.234018E-7
-9.534500	-1.542503E-7
-9.527500	-2.514571E-7
-9.520500	-2.430752E-7
-9.513500	-2.811430E-7
-9.506500	-2.853340E-7
-9.499500	-4.629837E-7
-9.492500	-3.699679E-7
-9.485500	-4.206086E-7
-9.478500	-4.206086E-7
-9.471500	-3.445894E-7
-9.464500	-3.572786E-7
-9.457500	-5.010515E-7
-9.450500	-3.192108E-7
-9.443500	-6.236369E-7
-9.436500	-2.895249E-7
-9.429500	-4.164176E-7
-9.422500	-3.741588E-7
-9.415500	-2.599554E-7
-9.408500	-3.699679E-7
-9.401500	-2.557645E-7
-9.394500	-2.684537E-7
-9.387500	-3.868481E-7
-9.380500	-3.487803E-7
-9.373500	-3.614696E-7
-9.366500	-5.306210E-7
-9.359500	-4.080357E-7
-9.352500	-3.699679E-7
-9.345500	-1.373701E-7
-9.338500	-4.164176E-7
-9.331500	-4.840549E-7
-9.324500	-1.161825E-7
-9.317500	-3.149034E-7
-9.310500	-3.022142E-7
-9.303500	-4.544854E-7
-9.296500	-2.853340E-7
-9.289500	-6.109476E-7
-9.282500	-3.783498E-7
-9.275500	-3.868481E-7
-9.268500	-3.826572E-7
-9.261500	-3.614696E-7
