% Langmuir characteristic curve

% U (Volt)	I (A)
60.000000	-2.853340E-7
60.009998	-2.345769E-7
60.014999	-4.206086E-7
60.025002	-4.925532E-7
60.029999	-3.064051E-7
60.040001	-4.374888E-7
60.044998	-3.064051E-7
60.055000	-3.613532E-7
60.060001	-3.825407E-7
60.070000	-4.840549E-7
60.075001	-4.925532E-7
60.084999	-4.164176E-7
60.090000	-3.486639E-7
60.099998	-2.768356E-7
60.105000	-2.599554E-7
60.115002	-3.444729E-7
60.119999	-4.121102E-7
60.130001	-4.121102E-7
60.134998	-3.656605E-7
60.145000	-3.232853E-7
60.150002	-1.795124E-7
60.160000	-3.783498E-7
60.165001	-5.009351E-7
60.174999	-3.022142E-7
60.180000	-3.910391E-7
60.189999	-3.232853E-7
60.195000	-3.105961E-7
60.205002	-2.472661E-7
60.209999	-2.472661E-7
60.220001	-2.514571E-7
60.224998	-3.105961E-7
60.235001	-1.372537E-7
60.240002	-2.937159E-7
60.250000	-3.994210E-7
60.255001	-3.064051E-7
60.264999	-2.937159E-7
60.270000	-3.275927E-7
60.279999	-3.740424E-7
60.285000	-4.671747E-7
60.294998	-3.402820E-7
60.299999	-3.656605E-7
60.310001	-3.740424E-7
60.314999	-1.626322E-7
60.325001	-3.359746E-7
60.330002	-2.429588E-7
60.340000	-5.601905E-7
60.345001	-5.094334E-7
60.355000	-2.387678E-7
60.360001	-3.317837E-7
60.369999	-3.529713E-7
60.375000	-4.079193E-7
60.384998	-1.880107E-7
60.389999	-4.291069E-7
60.400002	-4.037283E-7
60.404999	-3.867317E-7
60.415001	-3.105961E-7
60.419998	-3.656605E-7
60.430000	-3.022142E-7
60.435001	-2.599554E-7
60.445000	-3.740424E-7
60.450001	-3.613532E-7
60.459999	-3.740424E-7
60.465000	-3.825407E-7
60.474998	-3.529713E-7
60.480000	-3.529713E-7
60.490002	-2.641464E-7
60.494999	-2.937159E-7
60.505001	-5.179318E-7
60.509998	-4.925532E-7
60.520000	-1.795124E-7
60.525002	-3.698515E-7
60.535000	-3.444729E-7
60.540001	-3.529713E-7
60.549999	-2.429588E-7
60.555000	-4.164176E-7
60.564999	-1.880107E-7
60.570000	-4.121102E-7
60.580002	-2.514571E-7
60.584999	-2.937159E-7
60.595001	-3.402820E-7
60.599998	-3.825407E-7
