Ventil	Ion	B1	B2	Penning	Pirani
50	8.00E-04	0.3	-0.0003	3.00E-04	84
60	8.00E-04	0.3	-0.0003	3.00E-04	84
70	8.00E-04	0.3	-0.0003	3.00E-04	84
80	8.00E-04	0.3	-0.0003	3.50E-04	84
90	8.00E-04	0.3	-0.0003	4.00E-04	84
100	3.00E-03	0.3	0.0007	2.00E-03	83
110	4.00E-03	0.3	0.0014	3.00E-03	82
120	5.00E-03	0.3	0.0021	4.00E-03	81
130	8.00E-03	0.3	0.0035	6.00E-03	80
140	1.00E-02	0.3	0.0055	8.00E-03	78
150	2.00E-02	0.3	0.0082	1.00E-02	75
160	2.00E-02	0.3	0.012	3.00E-02	71
170	4.00E-02	0.3	0.0167	4.00E-02	67
180	6.00E-02	0.3	0.0242	6.00E-02	58
190		0.3	0.0444		46
200		0.3	0.077		32
210		0.4	0.1666		17
215		0.4	0.2555		9
220		0.4	0.3615		9
