t / s	Leckrate1	Leckrate2
0	0	-0.0003
10	0.0005	0.0006
20	0.001	0.0012
30	0.0015	0.002
40	0.0019	0.0027
50	0.0024	0.0034
60	0.0029	0.004
70	0.0033	0.0047
80	0.0037	0.0053
90	0.0042	0.006
100	0.0045	0.0067
110	0.005	0.0074
120	0.0054	0.0081
130	0.0059	0.0087
140	0.0063	0.0094
150	0.0067	0.0101
160	0.0071	0.0107
170	0.0075	0.0113
180	0.008	0.012
210	0.0093	0.014
240	0.0107	0.016
270	0.0119	0.0179
300	0.0132	0.0198
330	0.0146	0.0217
360	0.0158	0.0236
390	0.0172	0.0254
420	0.0185	0.0273
450	0.0198	0.0291
480	0.0212	0.0311
510	0.0224	0.0329
540	0.0238	0.0347
570	0.0251	0.0366
600	0.0264	0.0384
630	0.0277	0.0402
660	0.029	0.042
690	0.0303	0.0439
720	0.0315	0.0456
750	0.0329	0.0475
780	0.0342	0.0492
810	0.0356	0.0511
840	0.0368	0.0528
870	0.0381	0.0546
900	0.0394	0.0564
930	0.0409	0.058
960	0.0422	0.0599
990	0.0435	0.0616
1020	0.0448	0.0634
1050	0.0461	0.0651
1080	0.0474	0.0669
1110	0.0488	0.0687
1140	0.0502	0.0704
1170	0.0515	0.0721
1200	0.0528	0.0739
1230	0.054	0.0756
1260	0.0554	0.0774
1290	0.0567	0.0791
1320	0.0581	0.0808
1350	0.0593	0.0826
1380	0.0608	0.0842
