Ventil	Ion	B1	B2	Penning	Pirani
320		0.5	0.2573		12
310		0.4	0.0933		34
300		0.3	0.0472		50
290		0.3	0.0365		55
280		0.3	0.0313		57
270		0.3	0.0277		61
260		0.3	0.0247		64
250		0.3	0.0219		66
240		0.3	0.0193		67
230		0.3	0.0169		69
220		0.3	0.015		70
210		0.3	0.0131		72
200		0.3	0.0114		74
190		0.3	0.0097		75
180		0.3	0.0082	5.00E-02	76
170		0.3	0.0068	5.00E-02	77
160	8.00E-02	0.3	0.0054	4.00E-02	79
150	6.00E-02	0.3	0.0041	4.00E-02	80
140	4.00E-02	0.3	0.0029	4.00E-02	81
130	3.00E-02	0.3	0.002	2.00E-02	82
120	2.00E-02	0.3	0.0013	2.00E-02	83
110	1.00E-02	0.3	0.0009	1.00E-02	83
100	8.00E-03	0.3	0.0005	8.00E-03	84
90	8.00E-04	0.3	-0.0003	6.00E-04	84
80	8.00E-04	0.3	-0.0002	6.00E-04	84
