Gasfluss Luft 1Bar Differenzdruck / mbar l/s	DigitalePositionsanzeige
2.03e-06	1.28
2.04e-06	1.73
2.04e-06	1.17
2.04e-06	1.79
2.04e-06	1.16
2.04e-06	1.47
2.04e-06	1.33
2.04e-06	1.79
2.04e-06	2.15
2.04e-06	1.43
2.05e-06	2.11
2.05e-06	1.48
2.05e-06	1.90
2.05e-06	2.18
2.05e-06	1.96
2.06e-06	1.98
2.06e-06	1.58
2.06e-06	1.63
2.06e-06	1.62
2.07e-06	2.33
2.08e-06	2.37
2.11e-06	2.40
2.12e-06	2.56
2.13e-06	2.60
2.13e-06	2.64
2.13e-06	2.87
2.14e-06	2.85
2.14e-06	2.91
2.17e-06	3.14
2.18e-06	3.20
2.20e-06	3.44
2.21e-06	3.51
2.21e-06	3.52
2.25e-06	3.78
2.26e-06	3.89
2.30e-06	4.15
2.31e-06	4.27
2.34e-06	4.64
2.35e-06	4.71
2.36e-06	4.68
2.41e-06	5.16
2.42e-06	5.22
2.50e-06	5.77
2.50e-06	5.75
2.50e-06	5.66
2.58e-06	6.26
2.60e-06	6.36
2.72e-06	7.03
2.72e-06	6.98
2.83e-06	7.74
2.95e-06	8.51
2.95e-06	8.60
3.12e-06	9.32
3.14e-06	9.48
3.29e-06	10.3
3.47e-06	11.3
3.65e-06	12.4
3.93e-06	13.7
4.23e-06	14.9
4.56e-06	16.2
4.91e-06	17.6
5.34e-06	19.2
5.81e-06	20.8
5.88e-06	21.0
6.45e-06	22.5
6.62e-06	23.0
7.15e-06	24.4
7.35e-06	24.8
8.08e-06	26.3
8.32e-06	26.8
9.08e-06	28.5
9.42e-06	28.9
1.04e-05	31.3
1.22e-05	34.0
1.41e-05	36.5
1.62e-05	39.1
1.85e-05	41.7
2.12e-05	44.4
2.47e-05	47.5
2.93e-05	50.7
3.40e-05	53.6
3.97e-05	56.8
4.63e-05	59.6
5.42e-05	62.8
6.39e-05	66.5
7.56e-05	69.9
9.02e-05	73.8
9.31e-05	74.4
0.000120	79.5
0.000141	82.7
0.000166	86.1
0.000196	89.8
0.000197	89.9
0.000232	93.0
0.000274	97.8
0.000328	100
0.000389	103
0.000462	107
0.000549	111
0.000551	111
0.000659	115
0.000789	119
0.000951	123
0.00122	128
0.00146	132
0.00178	136
0.00213	140
0.00217	141
0.00255	145
0.00261	145
0.00305	149
0.00308	150
0.00368	154
0.00446	158
0.00450	158
0.00539	162
0.00644	166
0.00653	167
0.00779	171
0.00935	176
0.0114	181
0.0117	181
0.0120	182
0.0136	186
0.0139	187
0.0145	187
0.0153	189
0.0164	190
0.0168	191
0.0172	191
0.0183	193
0.0196	195
0.0202	196
0.0205	196
0.0218	198
0.0234	201
0.0242	201
0.0245	202
0.0263	203
0.0283	205
0.0290	206
0.0297	207
0.0318	208
0.0335	210
0.0344	211
0.0351	211
0.0376	213
0.0401	215
0.0408	215
0.0427	217
0.0456	219
0.0480	220
0.0487	221
0.0507	222
0.0547	224
0.0569	225
0.0590	226
0.0599	227
0.0650	229
0.0681	231
0.0699	232
0.0720	233
0.0780	235
0.0835	237
0.0852	238
0.0945	243
0.0999	244
0.101	245
0.113	248
0.119	249
0.120	250
0.141	256
0.142	256
0.168	260
0.170	261
0.202	268
0.207	270
0.242	274
0.246	274
0.288	283
0.298	285
0.349	289
0.353	290
0.364	292
0.416	298
0.431	299
0.507	306
0.511	306
0.520	307
0.608	314
0.727	321
0.760	324
0.862	330
0.879	331
0.901	331
1.01	336
1.02	337
1.03	338
1.05	339
1.07	340
1.24	345
1.27	349
1.29	349
1.52	355
1.57	357
1.82	363
1.91	366
2.18	373
2.27	375
2.52	380
2.62	382
2.77	386
2.92	387
3.10	390
3.14	390
3.30	393
3.50	395
3.69	401
3.90	403
4.57	413
4.64	414
5.60	423
6.68	434
7.98	446
7.98	445
9.52	456
11.3	467
11.8	470
13.6	480
14.2	482
16.3	492
17.1	495
19.6	504
20.5	505
23.2	513
24.3	518
27.8	527
29.2	531
32.9	538
34.9	542
39.1	554
41.4	558
47.0	566
49.2	569
56.5	579
61.3	586
68.4	594
73.8	600
81.0	608
87.8	615
96.2	619
99.9	623
104	630
114	635
118	638
124	642
134	649
140	654
141	655
150	657
159	667
168	670
193	682
203	687
228	698
245	705
273	717
298	725
329	734
355	742
389	752
421	761
475	771
499	778
567	791
603	796
671	809
730	817
808	830
874	839
962	846
1.04e+03	853
1.20e+03	868
1.25e+03	876
1.43e+03	891
1.49e+03	899
1.73e+03	912
1.88e+03	918
2.16e+03	952
2.18e+03	943
2.61e+03	969
2.62e+03	967
3.11e+03	978
