Sourcefile	20230123 155844 Faraday Airdemo Scan Analog.qmp
Exporttime	23.01.2023 16:04:30

Start Time	23.01.2023 15:58:50
End Time	23.01.2023 16:04:34


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	23.01.2023 15:58:50

Mass [amu]	Ion Current [A]
0,00	9,476324e-015
0,03	4,678143e-015
0,06	1,587345e-015
0,09	4,305291e-016
0,13	4,534478e-016
0,16	1,801880e-015
0,19	5,815668e-015
0,22	1,361058e-014
0,25	2,381357e-014
0,28	3,322592e-014
0,31	4,052815e-014
0,34	4,641615e-014
0,38	5,069900e-014
0,41	5,296474e-014
0,44	5,396302e-014
0,47	5,420811e-014
0,50	5,398818e-014
0,53	5,539418e-014
0,56	6,176895e-014
0,59	7,394068e-014
0,63	8,812663e-014
0,66	9,929869e-014
0,69	1,059048e-013
0,72	1,101219e-013
0,75	1,165244e-013
0,78	1,329191e-013
0,81	1,711062e-013
0,84	2,448455e-013
0,88	3,645956e-013
0,91	5,312636e-013
0,94	7,318220e-013
0,97	9,394475e-013
1,00	1,122397e-012
1,03	1,260418e-012
1,06	1,355100e-012
1,09	1,421555e-012
1,13	1,470282e-012
1,16	1,499380e-012
1,19	1,499463e-012
1,22	1,461336e-012
1,25	1,383227e-012
1,28	1,273311e-012
1,31	1,143492e-012
1,34	1,001278e-012
1,38	8,477403e-013
1,41	6,866376e-013
1,44	5,412855e-013
1,47	4,564416e-013
1,50	4,764075e-013
1,53	6,263249e-013
1,56	9,131785e-013
1,59	1,333388e-012
1,63	1,879210e-012
1,66	2,545051e-012
1,69	3,322029e-012
1,72	4,178276e-012
1,75	5,056293e-012
1,78	5,905007e-012
1,81	6,703949e-012
1,84	7,445026e-012
1,88	8,108996e-012
1,91	8,668395e-012
1,94	9,095924e-012
1,97	9,367032e-012
2,00	9,468894e-012
2,03	9,411220e-012
2,06	9,224593e-012
2,09	8,946917e-012
2,13	8,603169e-012
2,16	8,188145e-012
2,19	7,674868e-012
2,22	7,055329e-012
2,25	6,376682e-012
2,28	5,721455e-012
2,31	5,134074e-012
2,34	4,573743e-012
2,38	3,955670e-012
2,41	3,231656e-012
2,44	2,428403e-012
2,47	1,633375e-012
2,50	9,555978e-013
2,53	4,754430e-013
2,56	2,039079e-013
2,59	8,657340e-014
2,63	5,103355e-014
2,66	4,662528e-014
2,69	4,877165e-014
2,72	4,889995e-014
2,75	4,695335e-014
2,78	4,533878e-014
2,81	4,522495e-014
2,84	4,628725e-014
2,88	4,692519e-014
2,91	4,498845e-014
2,94	4,045257e-014
2,97	3,612725e-014
3,00	3,416355e-014
3,03	3,415557e-014
3,06	3,583153e-014
3,09	4,004044e-014
3,13	4,559598e-014
3,16	4,903513e-014
3,19	4,873325e-014
3,22	4,632790e-014
3,25	4,410008e-014
3,28	4,366751e-014
3,31	4,667927e-014
3,34	5,463368e-014
3,38	6,806095e-014
3,41	8,619949e-014
3,44	1,072787e-013
3,47	1,294932e-013
3,50	1,523629e-013
3,53	1,768649e-013
3,56	2,037636e-013
3,59	2,322396e-013
3,63	2,596962e-013
3,66	2,828290e-013
3,69	3,001877e-013
3,72	3,130496e-013
3,75	3,225371e-013
3,78	3,271751e-013
3,81	3,249450e-013
3,84	3,173676e-013
3,88	3,090730e-013
3,91	3,026174e-013
3,94	2,973167e-013
3,97	2,928006e-013
4,00	2,883904e-013
4,03	2,810820e-013
4,06	2,694019e-013
4,09	2,561631e-013
4,13	2,444815e-013
4,16	2,339819e-013
4,19	2,221084e-013
4,22	2,074874e-013
4,25	1,912436e-013
4,28	1,755473e-013
4,31	1,612348e-013
4,34	1,464364e-013
4,38	1,282570e-013
4,41	1,063547e-013
4,44	8,297034e-014
4,47	6,016506e-014
4,50	4,005668e-014
4,53	2,577487e-014
4,56	1,897501e-014
4,59	1,785826e-014
4,63	1,912398e-014
4,66	2,102323e-014
4,69	2,350465e-014
4,72	2,570153e-014
4,75	2,545396e-014
4,78	2,205379e-014
4,81	1,786156e-014
4,84	1,606890e-014
4,88	1,729578e-014
4,91	1,956834e-014
4,94	2,081770e-014
4,97	1,989565e-014
5,00	1,696565e-014
5,03	1,424387e-014
5,06	1,421940e-014
5,09	1,676978e-014
5,13	1,989103e-014
5,16	2,233357e-014
5,19	2,374685e-014
5,22	2,369069e-014
5,25	2,229316e-014
5,28	2,069518e-014
5,31	1,955141e-014
5,34	1,793011e-014
5,38	1,487420e-014
5,41	1,136634e-014
5,44	9,119482e-015
5,47	8,155292e-015
5,50	7,193275e-015
5,53	5,921571e-015
5,56	6,016203e-015
5,59	9,248363e-015
5,63	1,428687e-014
5,66	1,722844e-014
5,69	1,632406e-014
5,72	1,387314e-014
5,75	1,279959e-014
5,78	1,367177e-014
5,81	1,478570e-014
5,84	1,425701e-014
5,88	1,278111e-014
5,91	1,272069e-014
5,94	1,391056e-014
5,97	1,421393e-014
6,00	1,437721e-014
6,03	1,705222e-014
6,06	2,116070e-014
6,09	2,239247e-014
6,13	1,900633e-014
6,16	1,356857e-014
6,19	9,122482e-015
6,22	6,357513e-015
6,25	4,975449e-015
6,28	4,891575e-015
6,31	5,381858e-015
6,34	5,570220e-015
6,38	6,100117e-015
6,41	8,507022e-015
6,44	1,261133e-014
6,47	1,590224e-014
6,50	1,621019e-014
6,53	1,426760e-014
6,56	1,236855e-014
6,59	1,104617e-014
6,63	9,279044e-015
6,66	7,325715e-015
6,69	6,819131e-015
6,72	8,523535e-015
6,75	1,150556e-014
6,78	1,401188e-014
6,81	1,482220e-014
6,84	1,373487e-014
6,88	1,088336e-014
6,91	7,171255e-015
6,94	4,765805e-015
6,97	4,806568e-015
7,00	6,102187e-015
7,03	7,812669e-015
7,06	1,097057e-014
7,09	1,603666e-014
7,13	2,111627e-014
7,16	2,326027e-014
7,19	2,063785e-014
7,22	1,434773e-014
7,25	8,527183e-015
7,28	7,325624e-015
7,31	1,107936e-014
7,34	1,588966e-014
7,38	1,770135e-014
7,41	1,652731e-014
7,44	1,549569e-014
7,47	1,642442e-014
7,50	1,861825e-014
7,53	2,068133e-014
7,56	2,098500e-014
7,59	1,849748e-014
7,63	1,417305e-014
7,66	1,003128e-014
7,69	7,756680e-015
7,72	8,186029e-015
7,75	1,069336e-014
7,78	1,340932e-014
7,81	1,437634e-014
7,84	1,233320e-014
7,88	7,588327e-015
7,91	3,194923e-015
7,94	3,119293e-015
7,97	7,112651e-015
8,00	1,004185e-014
8,03	8,112844e-015
8,06	2,894233e-015
8,09	-1,536434e-015
8,13	-2,873821e-015
8,16	-1,450478e-015
8,19	1,561198e-015
8,22	4,967602e-015
8,25	7,056329e-015
8,28	6,815507e-015
8,31	5,257863e-015
8,34	4,119784e-015
8,38	4,122780e-015
8,41	4,867377e-015
8,44	5,638491e-015
8,47	5,800158e-015
8,50	5,009892e-015
8,53	3,962175e-015
8,56	3,688634e-015
8,59	3,605634e-015
8,63	2,730471e-015
8,66	1,900207e-015
8,69	1,965931e-015
8,72	1,981461e-015
8,75	6,513840e-016
8,78	-2,170018e-015
8,81	-4,769294e-015
8,84	-4,313172e-015
8,88	-1,020122e-016
8,91	5,266815e-015
8,94	9,105996e-015
8,97	1,077012e-014
9,00	1,090225e-014
9,03	1,105683e-014
9,06	1,278973e-014
9,09	1,546955e-014
9,13	1,667075e-014
9,16	1,492098e-014
9,19	1,074576e-014
9,22	5,865193e-015
9,25	2,270850e-015
9,28	1,525947e-015
9,31	4,046021e-015
9,34	8,151592e-015
9,38	1,032586e-014
9,41	8,167422e-015
9,44	2,738843e-015
9,47	-2,432390e-015
9,50	-3,604184e-015
9,53	2,561118e-017
9,56	4,569498e-015
9,59	5,616990e-015
9,63	3,127076e-015
9,66	3,062013e-016
9,69	1,577345e-016
9,72	3,285272e-015
9,75	6,904566e-015
9,78	7,769359e-015
9,81	6,815285e-015
9,84	7,343500e-015
9,88	9,270355e-015
9,91	9,755083e-015
9,94	7,971076e-015
9,97	5,486765e-015
10,00	3,163248e-015
10,03	-1,641359e-016
10,06	-5,185112e-015
10,09	-8,978476e-015
10,13	-7,231585e-015
10,16	-3,874410e-017
10,19	8,016522e-015
10,22	1,351933e-014
10,25	1,635550e-014
10,28	1,754244e-014
10,31	1,780933e-014
10,34	1,709306e-014
10,38	1,516075e-014
10,41	1,310652e-014
10,44	1,232648e-014
10,47	1,236200e-014
10,50	1,184146e-014
10,53	1,073271e-014
10,56	9,998972e-015
10,59	9,615569e-015
10,63	8,746430e-015
10,66	8,029921e-015
10,69	9,245294e-015
10,72	1,198299e-014
10,75	1,338103e-014
10,78	1,182485e-014
10,81	8,990351e-015
10,84	7,896804e-015
10,88	9,320575e-015
