Sourcefile	20230123 155844 Faraday Airdemo Scan Analog.qmp
Exporttime	23.01.2023 16:21:30

Start Time	23.01.2023 16:20:52
End Time	23.01.2023 16:21:18


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	23.01.2023 16:20:52

Mass [amu]	Ion Current [A]
0,00	-3,942552e-014
0,03	-1,778318e-014
0,06	-5,858256e-015
0,09	-1,626631e-015
0,13	-1,882704e-015
0,16	-7,056787e-015
0,19	-2,092863e-014
0,22	-4,480129e-014
0,25	-7,136329e-014
0,28	-8,906337e-014
0,31	-9,414994e-014
0,34	-9,339269e-014
0,38	-9,467761e-014
0,41	-9,970884e-014
0,44	-1,058581e-013
0,47	-1,099764e-013
0,50	-1,094204e-013
0,53	-1,024047e-013
0,56	-8,846672e-014
0,59	-7,103495e-014
0,63	-5,932323e-014
0,66	-6,050303e-014
0,69	-7,068309e-014
0,72	-8,017395e-014
0,75	-8,322107e-014
0,78	-7,816288e-014
0,81	-6,263434e-014
0,84	-3,138638e-014
0,88	2,098632e-014
0,91	9,382394e-014
0,94	1,773793e-013
0,97	2,576545e-013
1,00	3,242643e-013
1,03	3,739405e-013
1,06	4,093985e-013
1,09	4,364829e-013
1,13	4,593694e-013
1,16	4,759335e-013
1,19	4,793960e-013
1,22	4,655493e-013
1,25	4,353614e-013
1,28	3,910326e-013
1,31	3,345973e-013
1,34	2,689345e-013
1,38	1,966344e-013
1,41	1,220183e-013
1,44	5,612013e-014
1,47	1,511235e-014
1,50	1,557009e-014
1,53	7,618750e-014
1,56	2,192576e-013
1,59	4,649731e-013
1,63	8,279404e-013
1,66	1,320982e-012
1,69	1,956122e-012
1,72	2,731852e-012
1,75	3,613226e-012
1,78	4,532910e-012
1,81	5,423587e-012
1,84	6,244244e-012
1,88	6,973945e-012
1,91	7,598499e-012
1,94	8,106205e-012
1,97	8,482813e-012
2,00	8,711145e-012
2,03	8,782047e-012
2,06	8,704120e-012
2,09	8,500733e-012
2,13	8,196284e-012
2,16	7,799503e-012
2,19	7,296184e-012
2,22	6,668229e-012
2,25	5,940686e-012
2,28	5,205601e-012
2,31	4,558091e-012
2,34	3,998933e-012
2,38	3,439334e-012
2,41	2,803806e-012
2,44	2,096957e-012
2,47	1,386491e-012
2,50	7,613679e-013
2,53	2,969989e-013
2,56	1,974407e-014
2,59	-1,071076e-013
2,63	-1,512117e-013
2,66	-1,655418e-013
2,69	-1,726632e-013
2,72	-1,763302e-013
2,75	-1,755769e-013
2,78	-1,707571e-013
2,81	-1,643796e-013
2,84	-1,595780e-013
2,88	-1,579716e-013
2,91	-1,592424e-013
2,94	-1,624375e-013
2,97	-1,665534e-013
3,00	-1,702798e-013
3,03	-1,723975e-013
3,06	-1,726253e-013
3,09	-1,720499e-013
3,13	-1,725428e-013
3,16	-1,747167e-013
3,19	-1,767212e-013
3,22	-1,766017e-013
3,25	-1,743962e-013
3,28	-1,697039e-013
3,31	-1,582736e-013
3,34	-1,319400e-013
3,38	-8,064914e-014
3,41	4,930795e-015
3,44	1,294396e-013
3,47	2,895921e-013
3,50	4,747090e-013
3,53	6,695747e-013
3,56	8,576920e-013
3,59	1,026633e-012
3,63	1,172766e-012
3,66	1,298664e-012
3,69	1,406324e-012
3,72	1,494645e-012
3,75	1,561572e-012
3,78	1,606478e-012
3,81	1,629902e-012
3,84	1,632304e-012
3,88	1,616595e-012
3,91	1,591603e-012
3,94	1,568353e-012
3,97	1,551998e-012
4,00	1,539005e-012
4,03	1,520265e-012
4,06	1,485247e-012
4,09	1,424967e-012
4,13	1,333798e-012
4,16	1,212364e-012
4,19	1,072778e-012
4,22	9,395763e-013
4,25	8,368768e-013
4,28	7,689628e-013
4,31	7,171481e-013
4,34	6,565916e-013
4,38	5,713542e-013
4,41	4,568490e-013
4,44	3,183925e-013
4,47	1,707630e-013
4,50	3,508125e-014
4,53	-6,955707e-014
4,56	-1,358751e-013
4,59	-1,694933e-013
4,63	-1,813977e-013
4,66	-1,830247e-013
4,69	-1,836992e-013
4,72	-1,863438e-013
4,75	-1,881873e-013
4,78	-1,870362e-013
4,81	-1,837263e-013
4,84	-1,803571e-013
4,88	-1,789198e-013
4,91	-1,796924e-013
4,94	-1,812689e-013
4,97	-1,831834e-013
5,00	-1,858825e-013
5,03	-1,885097e-013
5,06	-1,892342e-013
5,09	-1,874312e-013
5,13	-1,847807e-013
5,16	-1,833481e-013
5,19	-1,829221e-013
5,22	-1,827546e-013
5,25	-1,841520e-013
5,28	-1,876432e-013
5,31	-1,907141e-013
5,34	-1,913785e-013
5,38	-1,908078e-013
5,41	-1,912672e-013
5,44	-1,931357e-013
5,47	-1,940619e-013
5,50	-1,923358e-013
5,53	-1,905681e-013
5,56	-1,920727e-013
5,59	-1,952998e-013
5,63	-1,959088e-013
5,66	-1,922062e-013
5,69	-1,866831e-013
5,72	-1,832579e-013
5,75	-1,829473e-013
5,78	-1,838159e-013
5,81	-1,853495e-013
5,84	-1,882315e-013
5,88	-1,911766e-013
5,91	-1,928642e-013
5,94	-1,934432e-013
5,97	-1,921333e-013
6,00	-1,881230e-013
6,03	-1,835128e-013
6,06	-1,815478e-013
6,09	-1,834039e-013
6,13	-1,880923e-013
6,16	-1,933496e-013
6,19	-1,966792e-013
6,22	-1,970003e-013
6,25	-1,954445e-013
6,28	-1,942042e-013
6,31	-1,940545e-013
6,34	-1,933347e-013
6,38	-1,899674e-013
6,41	-1,834299e-013
6,44	-1,745003e-013
6,47	-1,651854e-013
6,50	-1,588699e-013
6,53	-1,584759e-013
6,56	-1,641972e-013
6,59	-1,734689e-013
6,63	-1,826800e-013
6,66	-1,883094e-013
6,69	-1,882135e-013
