Sourcefile	20230123 155844 Faraday Airdemo Scan Analog.qmp
Exporttime	23.01.2023 16:33:02

Start Time	23.01.2023 16:32:11
End Time	23.01.2023 16:32:48


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	23.01.2023 16:32:11

Mass [amu]	Ion Current [A]
0,00	1,279340e-015
0,03	2,383598e-016
0,06	-2,000378e-018
0,09	1,581644e-017
0,13	1,795257e-016
0,16	7,416796e-016
0,19	2,032850e-015
0,22	3,720885e-015
0,25	4,381972e-015
0,28	2,864826e-015
0,31	-1,326043e-016
0,34	-3,219524e-015
0,38	-6,024955e-015
0,41	-8,385120e-015
0,44	-9,525278e-015
0,47	-9,368440e-015
0,50	-9,196950e-015
0,53	-9,499338e-015
0,56	-7,549173e-015
0,59	-2,584502e-016
0,63	9,099722e-015
0,66	1,345456e-014
0,69	1,212034e-014
0,72	1,014802e-014
0,75	1,150024e-014
0,78	2,096175e-014
0,81	4,843515e-014
0,84	1,080600e-013
0,88	2,144946e-013
0,91	3,756461e-013
0,94	5,826153e-013
0,97	8,062991e-013
1,00	1,008683e-012
1,03	1,164469e-012
1,06	1,275059e-012
1,09	1,358074e-012
1,13	1,424277e-012
1,16	1,470046e-012
1,19	1,487254e-012
1,22	1,471583e-012
1,25	1,422416e-012
1,28	1,340236e-012
1,31	1,226288e-012
1,34	1,082597e-012
1,38	9,089093e-013
1,41	7,059621e-013
1,44	4,950514e-013
1,47	3,357514e-013
1,50	3,191867e-013
1,53	5,483879e-013
1,56	1,127794e-012
1,59	2,169979e-012
1,63	3,814625e-012
1,66	6,187463e-012
1,69	9,202888e-012
1,72	1,240743e-011
1,75	1,524949e-011
1,78	1,752413e-011
1,81	1,935662e-011
1,84	2,087580e-011
1,88	2,211614e-011
1,91	2,312400e-011
1,94	2,398600e-011
1,97	2,476149e-011
2,00	2,544906e-011
2,03	2,602011e-011
2,06	2,645941e-011
2,09	2,675675e-011
2,13	2,685838e-011
2,16	2,664417e-011
2,19	2,597081e-011
2,22	2,477360e-011
2,25	2,318785e-011
2,28	2,153273e-011
2,31	2,002248e-011
2,34	1,849680e-011
2,38	1,657087e-011
2,41	1,401413e-011
2,44	1,092474e-011
2,47	7,651202e-012
2,50	4,648299e-012
2,53	2,326770e-012
2,56	8,705986e-013
2,59	1,551146e-013
2,63	-1,133544e-013
2,66	-1,893569e-013
2,69	-2,066157e-013
2,72	-2,121921e-013
2,75	-2,171082e-013
2,78	-2,227496e-013
2,81	-2,281876e-013
2,84	-2,307535e-013
2,88	-2,293500e-013
2,91	-2,267510e-013
2,94	-2,253448e-013
2,97	-2,245728e-013
3,00	-2,243292e-013
3,03	-2,260461e-013
3,06	-2,300693e-013
3,09	-2,347178e-013
3,13	-2,371184e-013
3,16	-2,354011e-013
3,19	-2,311980e-013
3,22	-2,276660e-013
3,25	-2,244411e-013
3,28	-2,144130e-013
3,31	-1,815873e-013
3,34	-1,019123e-013
3,38	4,817071e-014
3,41	2,791925e-013
3,44	5,815451e-013
3,47	9,293704e-013
3,50	1,291577e-012
3,53	1,640581e-012
3,56	1,957631e-012
3,59	2,237722e-012
3,63	2,487075e-012
3,66	2,708731e-012
3,69	2,893660e-012
3,72	3,034197e-012
3,75	3,139852e-012
3,78	3,228028e-012
3,81	3,304681e-012
3,84	3,363365e-012
3,88	3,397885e-012
3,91	3,408899e-012
3,94	3,401214e-012
3,97	3,379633e-012
4,00	3,346426e-012
4,03	3,299306e-012
4,06	3,231605e-012
4,09	3,135319e-012
4,13	3,004348e-012
4,16	2,837647e-012
4,19	2,644649e-012
4,22	2,450162e-012
4,25	2,284611e-012
4,28	2,156603e-012
4,31	2,039736e-012
4,34	1,894655e-012
4,38	1,695889e-012
4,41	1,434053e-012
4,44	1,109066e-012
4,47	7,396266e-013
4,50	3,769903e-013
4,53	8,640486e-014
4,56	-9,756700e-014
4,59	-1,883858e-013
4,63	-2,228518e-013
4,66	-2,321708e-013
4,69	-2,327739e-013
4,72	-2,304584e-013
4,75	-2,274583e-013
4,78	-2,268062e-013
4,81	-2,307683e-013
4,84	-2,371457e-013
4,88	-2,411495e-013
4,91	-2,406450e-013
4,94	-2,372881e-013
4,97	-2,341931e-013
5,00	-2,328449e-013
5,03	-2,316431e-013
5,06	-2,291555e-013
5,09	-2,275328e-013
5,13	-2,299324e-013
5,16	-2,356894e-013
5,19	-2,403220e-013
5,22	-2,402349e-013
5,25	-2,363056e-013
5,28	-2,320543e-013
5,31	-2,291973e-013
5,34	-2,275727e-013
5,38	-2,278356e-013
5,41	-2,302937e-013
5,44	-2,331604e-013
5,47	-2,342825e-013
5,50	-2,331137e-013
5,53	-2,311839e-013
5,56	-2,303521e-013
5,59	-2,305246e-013
5,63	-2,314142e-013
5,66	-2,342864e-013
5,69	-2,385411e-013
5,72	-2,406977e-013
5,75	-2,389590e-013
5,78	-2,348949e-013
5,81	-2,311443e-013
5,84	-2,292264e-013
5,88	-2,282912e-013
5,91	-2,271059e-013
5,94	-2,269163e-013
5,97	-2,295051e-013
6,00	-2,340975e-013
6,03	-2,378794e-013
6,06	-2,386803e-013
6,09	-2,373356e-013
6,13	-2,360095e-013
6,16	-2,348320e-013
6,19	-2,336531e-013
6,22	-2,344953e-013
6,25	-2,383044e-013
6,28	-2,426414e-013
6,31	-2,450145e-013
6,34	-2,450365e-013
6,38	-2,430632e-013
6,41	-2,396754e-013
6,44	-2,358276e-013
6,47	-2,320752e-013
6,50	-2,279661e-013
6,53	-2,222999e-013
6,56	-2,149682e-013
6,59	-2,084742e-013
6,63	-2,047501e-013
6,66	-2,013683e-013
6,69	-1,948249e-013
6,72	-1,859747e-013
6,75	-1,796610e-013
6,78	-1,804239e-013
6,81	-1,878360e-013
6,84	-1,955292e-013
6,88	-1,972848e-013
6,91	-1,931970e-013
6,94	-1,880660e-013
6,97	-1,858050e-013
7,00	-1,864742e-013
7,03	-1,877332e-013
7,06	-1,882254e-013
7,09	-1,881608e-013
7,13	-1,882465e-013
7,16	-1,899198e-013
7,19	-1,938305e-013
7,22	-1,982111e-013
7,25	-2,010492e-013
7,28	-2,021299e-013
7,31	-2,026085e-013
7,34	-2,043984e-013
7,38	-2,088075e-013
7,41	-2,145908e-013
7,44	-2,191022e-013
7,47	-2,216633e-013
7,50	-2,234831e-013
7,53	-2,243508e-013
7,56	-2,223443e-013
7,59	-2,179231e-013
7,63	-2,150686e-013
7,66	-2,155850e-013
7,69	-2,165799e-013
7,72	-2,160582e-013
7,75	-2,155060e-013
7,78	-2,158801e-013
7,81	-2,157434e-013
7,84	-2,136243e-013
7,88	-2,099704e-013
7,91	-2,069598e-013
7,94	-2,061396e-013
7,97	-2,058700e-013
8,00	-2,035765e-013
8,03	-2,005775e-013
8,06	-2,007016e-013
8,09	-2,045214e-013
8,13	-2,087952e-013
8,16	-2,108225e-013
8,19	-2,109942e-013
8,22	-2,115820e-013
8,25	-2,141183e-013
8,28	-2,183663e-013
8,31	-2,230221e-013
8,34	-2,263626e-013
8,38	-2,267340e-013
8,41	-2,239567e-013
8,44	-2,202544e-013
8,47	-2,181958e-013
8,50	-2,181294e-013
8,53	-2,187509e-013
8,56	-2,194260e-013
8,59	-2,205406e-013
