Sourcefile	20230123 155844 Faraday Airdemo Scan Analog.qmp
Exporttime	23.01.2023 16:16:53

Start Time	23.01.2023 16:15:49
End Time	23.01.2023 16:16:36


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	23.01.2023 16:15:49

Mass [amu]	Ion Current [A]
0,00	-1,807433e-014
0,03	-7,883721e-015
0,06	-2,559227e-015
0,09	-6,913623e-016
0,13	-7,333069e-016
0,16	-2,814804e-015
0,19	-8,826043e-015
0,22	-2,042757e-014
0,25	-3,607135e-014
0,28	-5,079725e-014
0,31	-5,982197e-014
0,34	-6,191446e-014
0,38	-5,988385e-014
0,41	-5,839276e-014
0,44	-6,025793e-014
0,47	-6,413680e-014
0,50	-6,644626e-014
0,53	-6,499957e-014
0,56	-5,936773e-014
0,59	-5,061798e-014
0,63	-4,325069e-014
0,66	-4,241153e-014
0,69	-4,682735e-014
0,72	-4,931780e-014
0,75	-4,352068e-014
0,78	-2,545827e-014
0,81	1,019654e-014
0,84	7,231613e-014
0,88	1,700953e-013
0,91	3,054513e-013
0,94	4,677913e-013
0,97	6,363047e-013
1,00	7,879903e-013
1,03	9,069035e-013
1,06	9,893945e-013
1,09	1,042107e-012
1,13	1,074282e-012
1,16	1,089805e-012
1,19	1,085806e-012
1,22	1,057969e-012
1,25	1,004728e-012
1,28	9,269662e-013
1,31	8,264423e-013
1,34	7,049714e-013
1,38	5,652272e-013
1,41	4,149615e-013
1,44	2,726878e-013
1,47	1,668689e-013
1,50	1,265360e-013
1,53	1,734329e-013
1,56	3,223139e-013
1,59	5,838785e-013
1,63	9,636017e-013
1,66	1,458826e-012
1,69	2,059675e-012
1,72	2,748748e-012
1,75	3,494988e-012
1,78	4,254799e-012
1,81	4,987965e-012
1,84	5,669976e-012
1,88	6,285918e-012
1,91	6,817908e-012
1,94	7,242627e-012
1,97	7,538949e-012
2,00	7,695983e-012
2,03	7,716614e-012
2,06	7,617747e-012
2,09	7,424362e-012
2,13	7,155802e-012
2,16	6,814120e-012
2,19	6,385367e-012
2,22	5,858247e-012
2,25	5,255877e-012
2,28	4,646023e-012
2,31	4,091569e-012
2,34	3,587045e-012
2,38	3,069529e-012
2,41	2,488713e-012
2,44	1,849346e-012
2,47	1,207120e-012
2,50	6,467647e-013
2,53	2,420963e-013
2,56	1,043995e-014
2,59	-9,094867e-014
2,63	-1,220577e-013
2,66	-1,238802e-013
2,69	-1,167059e-013
2,72	-1,105698e-013
2,75	-1,087469e-013
2,78	-1,095227e-013
2,81	-1,108343e-013
2,84	-1,129421e-013
2,88	-1,164243e-013
