Mass [amu]	Ion Current [A]
0.00	-2.395021e-014
0.03	-1.063526e-014
0.06	-3.464841e-015
0.09	-9.519317e-016
0.13	-1.096948e-015
0.16	-4.172378e-015
0.19	-1.260965e-014
0.22	-2.761413e-014

0.25	-4.523319e-014
0.28	-5.857726e-014
0.31	-6.504865e-014
0.34	-6.800879e-014
0.38	-7.141762e-014
0.41	-7.607041e-014
0.44	-8.038667e-014
0.47	-8.265640e-014
0.50	-8.218323e-014
0.53	-7.791883e-014
0.56	-6.761743e-014
0.59	-5.205020e-014
0.63	-3.793294e-014
0.66	-3.107748e-014
0.69	-2.970397e-014
0.72	-2.899907e-014
0.75	-2.644522e-014
0.78	-1.827249e-014
0.81	5.335496e-015
0.84	5.774297e-014
0.88	1.485854e-013
0.91	2.787307e-013
0.94	4.385777e-013
0.97	6.078317e-013
1.00	7.607613e-013
1.03	8.786511e-013
1.06	9.584069e-013
1.09	1.009255e-012
1.13	1.042701e-012
1.16	1.063036e-012
1.19	1.065273e-012
1.22	1.041852e-012
1.25	9.885879e-013
1.28	9.052738e-013
1.31	7.961129e-013
1.34	6.687442e-013
1.38	5.294932e-013
1.41	3.839942e-013
1.44	2.456307e-013
1.47	1.393948e-013
1.50	9.521222e-014
1.53	1.383110e-013
1.56	2.848750e-013
1.59	5.415294e-013
1.63	9.055707e-013
1.66	1.369631e-012
1.69	1.928455e-012
1.72	2.575313e-012
1.75	3.288547e-012
1.78	4.027337e-012
1.81	4.745416e-012
1.84	5.408917e-012
1.88	5.999469e-012
1.91	6.502647e-012
1.94	6.901169e-012
1.97	7.180188e-012
2.00	7.333093e-012
2.03	7.362016e-012
2.06	7.277720e-012
2.09	7.098945e-012
2.13	6.844727e-012
2.16	6.520312e-012
2.19	6.111693e-012
2.22	5.605032e-012
2.25	5.022744e-012
2.28	4.432361e-012
2.31	3.895974e-012
2.34	3.410269e-012
2.38	2.918343e-012
2.41	2.375874e-012
2.44	1.787230e-012
2.47	1.195589e-012
2.50	6.664243e-013
2.53	2.664498e-013
2.56	2.554256e-014
2.59	-8.420976e-014
2.63	-1.207991e-013
2.66	-1.307004e-013
2.69	-1.352566e-013
2.72	-1.382926e-013
2.75	-1.367025e-013
2.78	-1.292795e-013
2.81	-1.204950e-013
2.84	-1.165446e-013
2.88	-1.188191e-013
2.91	-1.230831e-013
2.94	-1.250190e-013
2.97	-1.247911e-013
3.00	-1.253413e-013
3.03	-1.275224e-013
3.06	-1.288642e-013
3.09	-1.276872e-013
3.13	-1.264451e-013
3.16	-1.285760e-013
3.19	-1.334752e-013
3.22	-1.369857e-013
3.25	-1.350949e-013
3.28	-1.243444e-013
3.31	-9.835940e-014
3.34	-4.551462e-014
3.38	4.720230e-014
3.41	1.866980e-013
3.44	3.722675e-013
3.47	5.998047e-013
3.50	8.613665e-013
3.53	1.141414e-012
3.56	1.420175e-012
3.59	1.682037e-012
3.63	1.918585e-012
3.66	2.124852e-012
3.69	2.295748e-012
3.72	2.427181e-012
3.75	2.518396e-012
3.78	2.572043e-012
3.81	2.593833e-012
3.84	2.590208e-012
3.88	2.563997e-012
3.91	2.517780e-012
3.94	2.462441e-012
3.97	2.412172e-012
4.00	2.369005e-012
4.03	2.320504e-012
4.06	2.251816e-012
4.09	2.153684e-012
4.13	2.020921e-012
4.16	1.851393e-012
4.19	1.655357e-012
4.22	1.464390e-012
4.25	1.315502e-012
4.28	1.218554e-012
4.31	1.146896e-012
4.34	1.061341e-012
4.38	9.357652e-013
4.41	7.648949e-013
4.44	5.621828e-013
4.47	3.526382e-013
4.50	1.634715e-013
4.53	1.730674e-014
4.56	-7.532589e-014
4.59	-1.210764e-013
4.63	-1.381143e-013
4.66	-1.436750e-013
4.69	-1.462085e-013
4.72	-1.475004e-013
4.75	-1.483253e-013
4.78	-1.495366e-013
4.81	-1.507220e-013
4.84	-1.508644e-013
4.88	-1.496101e-013
4.91	-1.477339e-013
4.94	-1.468513e-013
4.97	-1.481444e-013
5.00	-1.514881e-013
5.03	-1.557615e-013
5.06	-1.589834e-013
5.09	-1.589467e-013
5.13	-1.550690e-013
5.16	-1.487299e-013
5.19	-1.424751e-013
5.22	-1.397892e-013
5.25	-1.425461e-013
5.28	-1.483927e-013
5.31	-1.536177e-013
5.34	-1.566602e-013
5.38	-1.570326e-013
5.41	-1.546031e-013
5.44	-1.509876e-013
5.47	-1.484387e-013
5.50	-1.473475e-013
5.53	-1.466389e-013
5.56	-1.460727e-013
5.59	-1.469411e-013
5.63	-1.500327e-013
5.66	-1.539855e-013
5.69	-1.568680e-013
5.72	-1.580655e-013
5.75	-1.574300e-013
5.78	-1.539078e-013
5.81	-1.474858e-013
5.84	-1.420503e-013
5.88	-1.424394e-013
5.91	-1.482677e-013
5.94	-1.536867e-013
5.97	-1.535596e-013
6.00	-1.484173e-013
6.03	-1.430713e-013
6.06	-1.416846e-013
6.09	-1.446895e-013
6.13	-1.491634e-013
6.16	-1.518523e-013
6.19	-1.519774e-013
6.22	-1.510660e-013
6.25	-1.509655e-013
6.28	-1.523998e-013
6.31	-1.544818e-013
6.34	-1.560160e-013
6.38	-1.574614e-013
6.41	-1.597641e-013
6.44	-1.622201e-013
6.47	-1.636441e-013
6.50	-1.637347e-013
6.53	-1.623607e-013
6.56	-1.599327e-013
6.59	-1.579397e-013
6.63	-1.571592e-013
6.66	-1.566542e-013
6.69	-1.559454e-013
6.72	-1.567226e-013
6.75	-1.603538e-013
6.78	-1.646204e-013
6.81	-1.656903e-013
6.84	-1.630344e-013
6.88	-1.594959e-013
6.91	-1.574549e-013
6.94	-1.580336e-013
6.97	-1.616371e-013
7.00	-1.667696e-013
7.03	-1.707158e-013
7.06	-1.714247e-013
7.09	-1.682300e-013
7.13	-1.627426e-013
7.16	-1.575218e-013
7.19	-1.533291e-013
7.22	-1.503665e-013
7.25	-1.497610e-013
7.28	-1.514945e-013
7.31	-1.539455e-013
7.34	-1.559960e-013
7.38	-1.578107e-013
7.41	-1.598445e-013
7.44	-1.612633e-013
7.47	-1.605259e-013
7.50	-1.580570e-013
7.53	-1.553945e-013
7.56	-1.521960e-013
7.59	-1.484458e-013
7.63	-1.477474e-013
7.66	-1.533435e-013
7.69	-1.627094e-013
7.72	-1.697076e-013
7.75	-1.708299e-013
7.78	-1.674393e-013
7.81	-1.622957e-013
7.84	-1.557488e-013
7.88	-1.479252e-013
7.91	-1.424854e-013
7.94	-1.429916e-013
7.97	-1.478081e-013
8.00	-1.525090e-013
8.03	-1.547495e-013
8.06	-1.553252e-013
8.09	-1.564445e-013
8.13	-1.593754e-013
8.16	-1.634384e-013
8.19	-1.671029e-013
8.22	-1.686892e-013
8.25	-1.662611e-013
8.28	-1.590155e-013
8.31	-1.497565e-013
8.34	-1.446232e-013
8.38	-1.476080e-013
8.41	-1.558497e-013
8.44	-1.634344e-013
8.47	-1.685149e-013
8.50	-1.729737e-013
8.53	-1.768868e-013
8.56	-1.780351e-013
8.59	-1.758332e-013
8.63	-1.722220e-013
8.66	-1.694241e-013
8.69	-1.676683e-013
8.72	-1.649945e-013
8.75	-1.605861e-013
8.78	-1.568699e-013
8.81	-1.562411e-013
8.84	-1.580212e-013
8.88	-1.597073e-013
8.91	-1.593448e-013
8.94	-1.569191e-013
8.97	-1.543601e-013
9.00	-1.540551e-013
9.03	-1.569205e-013
9.06	-1.615148e-013
9.09	-1.654448e-013
9.13	-1.678509e-013
9.16	-1.694042e-013
9.19	-1.702841e-013
9.22	-1.700706e-013
9.25	-1.689833e-013
9.28	-1.680443e-013
9.31	-1.679125e-013
9.34	-1.674331e-013
9.38	-1.646940e-013
9.41	-1.597633e-013
9.44	-1.544063e-013
9.47	-1.501569e-013
9.50	-1.484476e-013
9.53	-1.496969e-013
9.56	-1.516681e-013
9.59	-1.527040e-013
9.63	-1.546326e-013
9.66	-1.584830e-013
9.69	-1.615943e-013
9.72	-1.618800e-013
9.75	-1.603204e-013
9.78	-1.587259e-013
9.81	-1.582461e-013
9.84	-1.589230e-013
9.88	-1.593573e-013
9.91	-1.582448e-013
9.94	-1.563084e-013
9.97	-1.554372e-013
10.00	-1.564467e-013
10.03	-1.588947e-013
10.06	-1.621451e-013
10.09	-1.647979e-013
10.13	-1.640683e-013
10.16	-1.583611e-013
10.19	-1.503862e-013
10.22	-1.451632e-013
10.25	-1.447023e-013
10.28	-1.466528e-013
10.31	-1.477537e-013
10.34	-1.471258e-013
10.38	-1.463107e-013
10.41	-1.468690e-013
10.44	-1.492547e-013
10.47	-1.534899e-013
10.50	-1.581875e-013
10.53	-1.605493e-013
10.56	-1.600629e-013
10.59	-1.587951e-013
10.63	-1.572006e-013
10.66	-1.541444e-013
10.69	-1.504716e-013
10.72	-1.485557e-013
10.75	-1.491444e-013
10.78	-1.514370e-013
10.81	-1.552447e-013
10.84	-1.604771e-013
10.88	-1.646444e-013
10.91	-1.642428e-013
10.94	-1.595894e-013
10.97	-1.544580e-013
11.00	-1.510158e-013
11.03	-1.491543e-013
11.06	-1.490704e-013
11.09	-1.507661e-013
11.13	-1.529393e-013
11.16	-1.542224e-013
11.19	-1.538158e-013
11.22	-1.515086e-013
11.25	-1.483815e-013
11.28	-1.461402e-013
11.31	-1.458357e-013
11.34	-1.472179e-013
11.38	-1.485248e-013
11.41	-1.481107e-013
11.44	-1.450892e-013
11.47	-1.374270e-013
11.50	-1.236128e-013
11.53	-1.064066e-013
11.56	-9.007941e-014
11.59	-7.543237e-014
11.63	-6.078121e-014
11.66	-4.510505e-014
11.69	-2.916253e-014
11.72	-1.488692e-014
11.75	-3.059937e-015
11.78	6.750337e-015
11.81	1.344969e-014
11.84	1.558689e-014
11.88	1.453760e-014
11.91	1.323651e-014
11.94	1.317775e-014
11.97	1.339057e-014
12.00	1.165794e-014
12.03	7.368697e-015
12.06	1.610634e-015
12.09	-5.478024e-015
12.13	-1.431817e-014
12.16	-2.438163e-014
12.19	-3.462586e-014
12.22	-4.374405e-014
12.25	-5.084521e-014
12.28	-5.638341e-014
12.31	-6.177995e-014
12.34	-6.863942e-014
12.38	-7.785392e-014
12.41	-8.901304e-014
12.44	-1.012387e-013
12.47	-1.141299e-013
12.50	-1.266677e-013
12.53	-1.365442e-013
12.56	-1.427283e-013
12.59	-1.466551e-013
12.63	-1.490924e-013
12.66	-1.486857e-013
12.69	-1.448817e-013
12.72	-1.404327e-013
12.75	-1.399110e-013
12.78	-1.449868e-013
12.81	-1.520811e-013
12.84	-1.561276e-013
12.88	-1.551144e-013
12.91	-1.502601e-013
12.94	-1.438181e-013
12.97	-1.374465e-013
13.00	-1.323405e-013
13.03	-1.299663e-013
13.06	-1.310322e-013
13.09	-1.342992e-013
13.13	-1.379148e-013
13.16	-1.405070e-013
13.19	-1.405413e-013
13.22	-1.376739e-013
13.25	-1.338803e-013
13.28	-1.309046e-013
13.31	-1.295683e-013
13.34	-1.316927e-013
13.38	-1.378294e-013
13.41	-1.446878e-013
13.44	-1.486288e-013
13.47	-1.491107e-013
13.50	-1.478483e-013
13.53	-1.462905e-013
13.56	-1.434743e-013
13.59	-1.378297e-013
13.63	-1.312067e-013
13.66	-1.274424e-013
13.69	-1.278523e-013
13.72	-1.307080e-013
13.75	-1.325595e-013
13.78	-1.296978e-013
13.81	-1.216198e-013
13.84	-1.122895e-013
13.88	-1.068185e-013
13.91	-1.082136e-013
13.94	-1.154019e-013
13.97	-1.233074e-013
14.00	-1.270739e-013
14.03	-1.260731e-013
14.06	-1.235269e-013
14.09	-1.232462e-013
14.13	-1.261815e-013
14.16	-1.304125e-013
14.19	-1.346707e-013
14.22	-1.385437e-013
14.25	-1.397003e-013
14.28	-1.364058e-013
14.31	-1.315796e-013
14.34	-1.298627e-013
14.38	-1.321870e-013
14.41	-1.356448e-013
14.44	-1.380533e-013
14.47	-1.407242e-013
14.50	-1.453785e-013
14.53	-1.502171e-013
14.56	-1.517679e-013
14.59	-1.491017e-013
14.63	-1.438786e-013
